ProjectID,AuthorizationCategory,AuthorizationType,ApplicationType,eFactsAuthID,PermitNumber,Submitted,Status
10000011,WRM Water Obstructions & Encroachments,GP-07 Minor Road Crossings,New,1551193,GP072103225-004,12/5/25,Issued
10000011,WRM Water Obstructions & Encroachments,GP-05 Utility Line Stream Crossings,New,1575057,GP052103226-005,6/26/26,Pending
10000011,WRM Water Obstructions & Encroachments,BWM-GP-11 Maintenance /Testing / Repair / Rehabilitation / Replacement General Pmt,New,1575049,GP112103226-007,6/26/26,Pending
10000011,Air Quality,Plan Approval,,,,,Not Yet Submitted
10000011,Air Quality,Operating Permit,,,,,Not Yet Submitted
10000011,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),Major Amendment,,,,Not Yet Submitted
10000011,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),Major Amendment,,,,Not Yet Submitted
10000011,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),Major Amendment,,,,Not Yet Submitted
10000011,WRM Water Obstructions & Encroachments,Water Obstruction & Encroachment Pmt,,,,,Not Yet Submitted
10000011,Storage Tanks,Storage Tank Registration/Permitting,,,,,Not Yet Submitted
10000011,Safe Drinking Water,Public Water Supply Permitting,,,,,Not Yet Submitted
10000011,WPC Act 537 Municipal Sewage Planning,New Land Development Plan App Component 3-Commercial,New,1583139,A3-21915-257-3,9/3/26,Pending
10000011,MING Explosives Safety,Blasting Activity Permit,New,1566689,21264110,4/21/26,Issued
10000012,Air Quality,Minor Facility Plan Approval MACT Air Toxics Minor,New,1527342,36-05169A,5/14/25,Issued
10000012,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),,,PAC361091,,Issued
10000014,Air Quality,Minor Facility Plan Approval MACT Air Toxics Minor,New,1566012,04-00953A,4/13/26,Pending
10000014,WPC Erosion & Sediment Control,Chapter 102 General NPDES Permit (PAG-02),,,PAC04198  ,10/31/25,Issued
